web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641931396-1363","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","BPCE INFOGERANCE ET TECHNOLOGIES, BPCE-IT","https://fr.kompass.com/c/bpce-infogerance-et-technologies/fra07lwvt/","BPCE INFOGERANCE ET TECHNOLOGIES","10 RUE DES ROQUEMONTS","10 RUE DES ROQUEMONTS 

	                
	        14000 CAEN","null","2021","Groupement d'intérêt économique (GIE)","null","L'entreprise BPCE INFOGERANCE ET TECHNOLOGIES(BPCE-IT), est implantée au 10 RUE DES ROQUEMONTS à Caen (14000) dans le département du Calvados.



Cette société est un groupement d'intérêt économique fondé en 2021 sous le numéro 812773711 00302, recensé sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société BPCE INFOGERANCE ET TECHNOLOGIES est dirigée par Gwilherm Le Donné (Directeur général)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931456-1383","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","OPTIMUMWEB","https://fr.kompass.com/c/optimumweb/fr7421986/","OPTIMUMWEB","21 RUE GUILLAUME LE CONQUERANT","21 RUE GUILLAUME LE CONQUERANT 

	                
	        14000 CAEN","null","2010","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise OPTIMUMWEB, est localisée au 21 RUE GUILLAUME LE CONQUERANT à Caen (14000) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2010(SIRET : 521731562 00018), recensée sous le naf : 

► Programmation informatique.



La société OPTIMUMWEB est dirigée par Paul Olivier Pelerins (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931351-1348","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","WARE ID","https://fr.kompass.com/c/ware-id/fra06w9rq/","WARE ID","32 RUE DE LA REPUBLIQUE ROCQUANCOURT","32 RUE DE LA REPUBLIQUE ROCQUANCOURT 

	                
	        14540 CASTINE-EN-PLAINE","null","2020","SAS, société par actions simplifiée","null","La société WARE ID, est implantée au 32 RUE DE LA REPUBLIQUE ROCQUANCOURT à Castine-en-plaine (14540) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2020 sous l'enregistrement 882889603 00024, recensée sous le naf : 

► Fabrication d'ordinateurs et d'équipements périphériques.



La société WARE ID est dirigée par Eric Otte (Président)","Fabrication d'ordinateurs et d'équipements périphériques (2620Z)
				Voir la classification Kompass"
"1641931381-1358","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","IMPRIMERIE-IMMO.COM","https://fr.kompass.com/c/imprimerie-immo-com/fra07q4qm/","IMPRIMERIE-IMMO.COM","138 RUE DES MONDERAINES","138 RUE DES MONDERAINES 

	                
	        14650 CARPIQUET","null","2019","SAS, société par actions simplifiée","null","La compagnie IMPRIMERIE-IMMO.COM, est installée au 138 RUE DES MONDERAINES à Carpiquet (14650) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 sous l'enregistrement 850204173 00023, recensée sous le naf : 

► Programmation informatique.



La société IMPRIMERIE-IMMO.COM est dirigée par Gwenaelle Gautier (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931444-1379","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","SYNERCOST, 3D2 I","https://fr.kompass.com/c/synercost/fr0550729/","SYNERCOST","5 CHE DE RIMBERT","5 CHE DE RIMBERT 

	                
	        14400 LONGUES-SUR-MER","null","2013","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise SYNERCOST(3D2 I), est installée au 5 CHE DE RIMBERT à Longues-sur-mer (14400) dans le département du Calvados.



Cette TPE est une societé anonyme par actions simplifiées fondée en 2013(SIRET : 791398472 00013), recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société SYNERCOST est dirigée par Jean-Christophe Mehaye (Président)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931303-1332","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","DIGITAL FAST FORWARD","https://fr.kompass.com/c/digital-fast-forward/fra05dtn2/","DIGITAL FAST FORWARD","2 RUE JEAN PERRIN 

	                PLUG N'WORK - BAT D","2 RUE JEAN PERRIN 

	                PLUG N'WORK - BAT D 

	                
	        14460 COLOMBELLES","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise DIGITAL FAST FORWARD, est implantée au 2 RUE JEAN PERRIN à Colombelles (14460) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 ayant comme SIRET le numéro 823067509 00021, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société DIGITAL FAST FORWARD est dirigée par Hubert Gervais (Président)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931324-1339","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","UNITED BIOMETRICS","https://fr.kompass.com/c/united-biometrics/fra068d46/","UNITED BIOMETRICS","2 RUE JEAN PERRIN","2 RUE JEAN PERRIN 

	                
	        14460 COLOMBELLES","null","2019","SAS, société par actions simplifiée","null","La société UNITED BIOMETRICS, est localisée au 2 RUE JEAN PERRIN à Colombelles (14460) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019(SIRET : 802149674 00037), recensée sous le naf : 

► Programmation informatique.



La société UNITED BIOMETRICS est dirigée par Christophe Richard (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931369-1354","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","MASOLUTION GESTION (MSG)","https://fr.kompass.com/c/masolution-gestion-msg/fra07m77g/","MASOLUTION GESTION (MSG)","4 RUE DE BRUXELLES","4 RUE DE BRUXELLES 

	                
	        14120 MONDEVILLE","null","2021","SAS, société par actions simplifiée","null","La compagnie MASOLUTION GESTION (MSG), est implantée au 4 RUE DE BRUXELLES à Mondeville (14120) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2021 sous le numéro 341353589 00110, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931342-1345","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","ACCESS-MAN","https://fr.kompass.com/c/access-man/fra0793pm/","ACCESS-MAN","29 RUE JEAN-LOUIS CARTIGNY 

	                BATIMENT SAINT EXUPERY QUARTIER KOENIG","29 RUE JEAN-LOUIS CARTIGNY 

	                BATIMENT SAINT EXUPERY QUARTIER KOENIG 

	                
	        14760 BRETTEVILLE-SUR-ODON","null","2020","SAS, société par actions simplifiée","null","L'entreprise ACCESS-MAN, est installée au 29 RUE JEAN-LOUIS CARTIGNY à Bretteville-sur-odon (14760) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2020 ayant comme SIRET le numéro 832790232 00033, recensée sous le naf : 

► Programmation informatique.



La société ACCESS-MAN est dirigée par Georges LAMY AU ROUSSEAU (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931501-1398","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-11/","WEEKEND-RESA","https://fr.kompass.com/c/weekend-resa/fr5269588/","WEEKEND-RESA","7 RUE DES CERISIERS","7 RUE DES CERISIERS 

	                
	        14610 VILLONS-LES-BUISSONS","null","1999","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise WEEKEND-RESA, est implantée au 7 RUE DES CERISIERS à Villons-les-buissons (14610) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 1999 sous l'enregistrement 428074538 00011, recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.



La société WEEKEND-RESA est dirigée par Julien Reverse (Gérant)","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
